0.75,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,400,0.5387,0.5493,0.5439,0.3636,0.0345,29
0,0,450,0.5057,0.5806,0.5406,0.3521,0.0345,29
0.25,0.25,500,0.5437,0.5368,0.5402,0.3355,0.0345,29
0,1,550,0.5262,0.5541,0.5398,0.3123,0.0345,29
0.5,0.25,500,0.5562,0.5226,0.5389,0.3356,0.0345,29
0.25,1,550,0.5273,0.5487,0.5378,0.3088,0.0345,29
0.25,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,400,0.5043,0.574,0.5369,0.3707,0.0345,29
0.5,1,550,0.5324,0.5355,0.534,0.304,0.0345,29
0,0.25,500,0.532,0.5351,0.5335,0.3239,0.0345,29
0.5,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,250,0.4145,0.7451,0.5327,0.4406,0.0345,29
0.5,0.25,300,0.4114,0.7505,0.5315,0.4408,0.0345,29
1,0.5,500,0.5782,0.4903,0.5306,0.3079,0.0345,29
0.75,0.25,500,0.5649,0.4985,0.5296,0.3229,0.0345,29
0.5,0.5,250,0.4072,0.753,0.5285,0.4419,0.0345,29
0.75,1,550,0.546,0.512,0.5284,0.2964,0.0345,29
0,0,400,0.4371,0.6628,0.5268,0.3976,0.0345,29
0,0.75,550,0.5271,0.5253,0.5262,0.3021,0.0345,29
0.5,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,450,0.5419,0.5107,0.5258,0.3391,0.0345,29
0.25,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,250,0.4047,0.7463,0.5248,0.4406,0.0345,29
