StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,950,0.9843,0.6945,0.8144
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,1000,0.9993,0.4199,0.5913
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,0,0.3567,0.6991,0.4724
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,50,0.3584,0.6991,0.4739
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,100,0.3728,0.6991,0.4863
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,150,0.4338,0.6991,0.5354
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,200,0.4366,0.699,0.5375
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,250,0.4391,0.6988,0.5393
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,300,0.4401,0.6988,0.5401
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,350,0.4469,0.6987,0.5451
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,400,0.4709,0.6987,0.5626
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,450,0.5297,0.6977,0.6022
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,500,0.5485,0.6973,0.614
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,550,0.9223,0.6915,0.7904
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,600,0.9822,0.6907,0.8111
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,650,0.9953,0.6892,0.8144
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,700,0.9967,0.6835,0.8109
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,750,0.9969,0.6827,0.8104
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,800,0.9969,0.6211,0.7653
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,850,0.9973,0.5945,0.7449
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,900,0.9962,0.2407,0.3878
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,950,1,0.0602,0.1135
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=quadratic,1000,1,0.0018,0.0037
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,0,0.3567,0.6991,0.4724
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,50,0.5407,0.6968,0.6089
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,100,0.5407,0.6965,0.6088
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,150,0.5409,0.6962,0.6088
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,200,0.541,0.6962,0.6088
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,250,0.5428,0.6962,0.61
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,300,0.543,0.6962,0.6101
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,350,0.5435,0.6962,0.6105
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,400,0.5437,0.6962,0.6106
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,450,0.5437,0.6962,0.6106
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,500,0.5441,0.6959,0.6107
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,550,0.9429,0.6947,0.8
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,600,0.943,0.6946,0.8
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,650,0.9431,0.6945,0.7999
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,700,0.9439,0.6945,0.8002
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,750,0.9439,0.6945,0.8002
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,800,0.9467,0.6944,0.8011
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,850,0.9468,0.6943,0.8011
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,900,0.9477,0.6938,0.8011
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,950,0.9477,0.6937,0.801
StanfordNLPClassifier,useClassFeature=true;useNB=true;prior=no,1000,0.9482,0.6928,0.8006
